user_id,recency_days,sessions_7d,watch_minutes_7d,avg_watch_ratio_7d,avg_completion_rate_7d,sessions_14d,watch_minutes_14d,avg_watch_ratio_14d,avg_completion_rate_14d,sessions_30d,watch_minutes_30d,avg_watch_ratio_30d,avg_completion_rate_30d,dow_entropy_30d,weekend_share_30d,gap_mean_days_30d,gap_std_days_30d,genre_share_Action,genre_share_Adventure,genre_share_Animation,genre_share_Biography,genre_share_Comedy,genre_share_Fantasy,genre_share_History,genre_share_Romance,genre_share_Sci-Fi,genre_share_War,genre_share_other,device_share_Desktop,device_share_Laptop,device_share_Mobile,device_share_Smart TV,device_share_Tablet,device_share_sum_top,sessions_in_horizon,churn,horizon_days,cutoff_date,feature_window_days
user_07271,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,63.9,0.6945652173913043,0.346,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,30,2025-12-01,30
user_06421,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39.3,0.5383561643835616,0.379,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,30,2025-12-01,30
user_03386,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53.0,0.828125,0.055,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,30,2025-12-01,30
user_02048,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.1,0.5901960784313726,0.377,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,30,2025-12-01,30
user_09556,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28.8,0.2380165289256198,0.047,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,30,2025-12-01,30
user_06236,2,1.0,167.5,0.0,0.645,1.0,167.5,0.0,0.645,1,167.5,0.0,0.645,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,30,2025-12-01,30
user_04298,4,1.0,0.0,0.0,0.773,1.0,0.0,0.0,0.773,1,0.0,0.0,0.773,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,30,2025-12-01,30
user_05057,4,2.0,67.3,0.7493421052631579,0.095,2.0,67.3,0.7493421052631579,0.095,2,67.3,0.7493421052631579,0.095,0.6931471805599453,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1,30,2025-12-01,30
user_07386,10,0.0,0.0,0.0,0.0,1.0,119.3,0.9859504132231404,0.629,2,135.4,0.7613085399449036,0.589,0.6931471805599453,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,2.0,0,30,2025-12-01,30
user_00207,12,0.0,0.0,0.0,0.0,1.0,37.3,0.3586538461538461,0.7759999999999999,1,37.3,0.3586538461538461,0.7759999999999999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,30,2025-12-01,30
