user_id,sessions_30d,watch_minutes_30d,avg_watch_ratio_30d,median_watch_ratio_30d,avg_completion_rate_30d,unique_title_30d,unique_genre_30d,last_watch_in_feat,recency_days,genre_entropy_30d,sessions_in_horizon,churn
user_00002,1,41.0,0.4880952380952381,0.4880952380952381,0.0,1,1,2025-11-28,19,-0.0,0.0,1
user_00006,1,125.2,2.721739130434783,2.721739130434783,0.946,1,1,2025-11-30,17,-0.0,0.0,1
user_00007,1,47.8,1.1949999999999998,1.1949999999999998,0.452,1,1,2025-11-23,24,-0.0,1.0,0
user_00008,1,17.5,0.1650943396226415,0.1650943396226415,0.235,1,1,2025-11-27,20,-0.0,0.0,1
user_00009,1,37.1,1.855,1.855,0.8390000000000001,1,1,2025-11-23,24,-0.0,0.0,1
user_00010,1,28.8,0.2969072164948453,0.2969072164948453,0.62,1,1,2025-11-18,29,-0.0,0.0,1
user_00011,1,103.5,0.0,0.0,0.384,1,1,2025-12-06,11,-0.0,0.0,1
user_00013,1,44.1,1.47,1.47,0.738,1,1,2025-12-08,9,-0.0,0.0,1
user_00017,1,11.0,0.1617647058823529,0.1617647058823529,0.507,1,1,2025-12-10,7,-0.0,0.0,1
user_00019,2,31.5,0.2006369426751592,0.2006369426751592,0.38849999999999996,2,2,2025-12-10,7,0.6931471805599453,0.0,1
user_00020,1,0.0,0.0,0.0,0.725,1,1,2025-12-17,0,-0.0,0.0,1
user_00022,1,405.9,2.962773722627737,2.962773722627737,0.0,1,1,2025-12-05,12,-0.0,0.0,1
user_00023,2,91.1,0.41689832689832695,0.41689832689832695,0.4555,2,2,2025-12-07,10,0.6931471805599453,1.0,0
user_00024,1,18.0,0.1782178217821782,0.1782178217821782,0.446,1,1,2025-12-11,6,-0.0,0.0,1
user_00026,1,0.0,0.0,0.0,0.372,1,1,2025-12-01,16,-0.0,2.0,0
user_00030,1,24.4,0.2464646464646464,0.2464646464646464,0.7879999999999999,1,1,2025-12-04,13,-0.0,0.0,1
user_00034,1,53.1,0.6637500000000001,0.6637500000000001,0.161,1,1,2025-12-12,5,-0.0,0.0,1
user_00039,1,49.2,0.4598130841121495,0.4598130841121495,0.218,1,1,2025-11-20,27,-0.0,0.0,1
user_00041,1,32.6,0.4591549295774648,0.4591549295774648,0.986,1,1,2025-12-13,4,-0.0,0.0,1
user_00056,4,100.6,0.4680445969125214,0.4680445969125214,0.42074999999999996,4,4,2025-12-17,0,1.3862943611198906,1.0,0
user_00060,1,69.1,1.1327868852459015,1.1327868852459015,0.848,1,1,2025-11-19,28,-0.0,1.0,0
user_00064,1,0.0,0.0,0.0,0.929,1,1,2025-12-17,0,-0.0,0.0,1
user_00065,1,42.1,0.915217391304348,0.915217391304348,0.916,1,1,2025-11-24,23,-0.0,0.0,1
user_00072,1,67.5,1.25,1.25,0.396,1,1,2025-12-17,0,-0.0,0.0,1
user_00073,2,91.9,0.5936641221374046,0.5936641221374046,0.7035,2,2,2025-12-03,14,0.6931471805599453,0.0,1
user_00074,1,0.0,0.0,0.0,0.265,1,1,2025-11-22,25,-0.0,0.0,1
user_00079,2,160.0,0.1776699029126213,0.1776699029126213,0.7070000000000001,2,2,2025-12-04,13,0.6931471805599453,0.0,1
user_00080,1,95.6,1.5672131147540982,1.5672131147540982,0.557,1,1,2025-12-05,12,-0.0,0.0,1
user_00082,2,74.5,0.48189594356261023,0.48189594356261023,0.398,2,2,2025-12-15,2,0.6931471805599453,0.0,1
